Тип мероприятия,Формат мероприятия,Место проведения,Количество участников,Периодичность
Насаждение деревьев,Групповое,Лосиный Остров,392,Раз в месяц
Уборка территории,Волонтерская деятельность,Мытищи,61,Еженедельно
Уход за парком,Групповое,Подольск,91,Еженедельно
Уход за парком,Волонтерская деятельность,Подольск,258,Еженедельно
Эко-лекция,Индивидуальное,Подольск,31,Раз в месяц
Уборка территории,Волонтерская деятельность,Измайловский парк,145,Еженедельно
Эко-лекция,Групповое,Люблино,191,Раз в месяц
Эко-лекция,Групповое,Битцевский лес,271,Еженедельно
Уборка территории,Индивидуальное,Зеленоград,371,Раз в год
Уборка территории,Индивидуальное,Парк Горького,341,Раз в год
Субботник,Волонтерская деятельность,Лосиный Остров,5,Раз в год
Субботник,Индивидуальное,Лосиный Остров,410,Еженедельно
Насаждение деревьев,Индивидуальное,Подольск,186,Раз в год
Эко-лекция,Волонтерская деятельность,Зеленоград,126,Раз в месяц
Уход за парком,Групповое,Битцевский лес,402,Раз в год
Эко-лекция,Индивидуальное,Подольск,229,Раз в месяц
Субботник,Волонтерская деятельность,Химки,182,Раз в месяц
Эко-лекция,Групповое,Воробьевы горы,163,Раз в месяц
Эко-лекция,Индивидуальное,Битцевский лес,325,Раз в месяц
Уход за парком,Индивидуальное,Парк Горького,215,Раз в месяц
Уборка территории,Волонтерская деятельность,Парк Горького,149,Еженедельно
Уход за парком,Волонтерская деятельность,Сокольники,269,Раз в год
Субботник,Индивидуальное,Сокольники,388,Раз в год
Эко-лекция,Волонтерская деятельность,Измайловский парк,253,Еженедельно
Эко-лекция,Индивидуальное,Подольск,343,Раз в год
Эко-лекция,Групповое,Крылатское,91,Раз в месяц
Субботник,Групповое,Химки,296,Раз в месяц
Уборка территории,Индивидуальное,Измайловский парк,469,Раз в год
Субботник,Индивидуальное,Парк Горького,340,Раз в месяц
Уборка территории,Волонтерская деятельность,Битцевский лес,431,Раз в месяц
Уборка территории,Волонтерская деятельность,Воробьевы горы,325,Еженедельно
Уборка территории,Индивидуальное,Измайловский парк,255,Еженедельно
Эко-лекция,Волонтерская деятельность,Мытищи,74,Еженедельно
Субботник,Групповое,Зеленоград,382,Раз в месяц
Эко-лекция,Индивидуальное,Сокольники,373,Еженедельно
Эко-лекция,Групповое,Воробьевы горы,447,Раз в год
Уход за парком,Индивидуальное,Воробьевы горы,198,Раз в год
Субботник,Групповое,Химки,215,Раз в год
Насаждение деревьев,Групповое,Крылатское,351,Еженедельно
Эко-лекция,Индивидуальное,Лосиный Остров,169,Раз в месяц
Эко-лекция,Индивидуальное,Крылатское,165,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Лосиный Остров,160,Раз в год
Насаждение деревьев,Групповое,Парк Горького,442,Раз в месяц
Субботник,Групповое,Мытищи,156,Раз в месяц
Субботник,Волонтерская деятельность,Битцевский лес,191,Раз в год
Насаждение деревьев,Групповое,Воробьевы горы,134,Еженедельно
Уход за парком,Индивидуальное,Воробьевы горы,221,Раз в месяц
Субботник,Индивидуальное,Парк Горького,416,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,489,Раз в год
Эко-лекция,Групповое,Битцевский лес,375,Еженедельно
Уход за парком,Индивидуальное,Сокольники,282,Еженедельно
Насаждение деревьев,Индивидуальное,Лосиный Остров,480,Еженедельно
Насаждение деревьев,Групповое,Химки,454,Раз в месяц
Эко-лекция,Индивидуальное,Лосиный Остров,135,Раз в год
Эко-лекция,Групповое,Мытищи,216,Раз в год
Эко-лекция,Групповое,Крылатское,318,Раз в месяц
Субботник,Индивидуальное,Парк Горького,286,Еженедельно
Эко-лекция,Индивидуальное,Воробьевы горы,409,Раз в месяц
Эко-лекция,Индивидуальное,Сокольники,113,Раз в год
Уборка территории,Волонтерская деятельность,Воробьевы горы,379,Еженедельно
Субботник,Групповое,Лосиный Остров,106,Еженедельно
Уход за парком,Индивидуальное,Битцевский лес,375,Раз в месяц
Уборка территории,Индивидуальное,Подольск,227,Раз в месяц
Субботник,Индивидуальное,Сокольники,354,Раз в месяц
Уход за парком,Волонтерская деятельность,Люблино,15,Раз в месяц
Насаждение деревьев,Индивидуальное,Мытищи,217,Раз в месяц
Уход за парком,Индивидуальное,Мытищи,453,Еженедельно
Уход за парком,Групповое,Лосиный Остров,445,Еженедельно
Субботник,Волонтерская деятельность,Битцевский лес,68,Раз в месяц
Уборка территории,Групповое,Битцевский лес,8,Раз в год
Субботник,Индивидуальное,Воробьевы горы,34,Раз в месяц
Эко-лекция,Групповое,Воробьевы горы,292,Раз в год
Уход за парком,Волонтерская деятельность,Измайловский парк,135,Еженедельно
Субботник,Индивидуальное,Лосиный Остров,132,Раз в год
Эко-лекция,Волонтерская деятельность,Лосиный Остров,462,Еженедельно
Насаждение деревьев,Индивидуальное,Мытищи,219,Еженедельно
Субботник,Индивидуальное,Измайловский парк,150,Еженедельно
Уборка территории,Групповое,Битцевский лес,182,Раз в год
Насаждение деревьев,Групповое,Сокольники,14,Раз в год
Уборка территории,Индивидуальное,Сокольники,384,Еженедельно
Уборка территории,Индивидуальное,Сокольники,51,Еженедельно
Субботник,Волонтерская деятельность,Сокольники,40,Еженедельно
Насаждение деревьев,Групповое,Мытищи,286,Еженедельно
Эко-лекция,Индивидуальное,Лосиный Остров,223,Раз в месяц
Уборка территории,Индивидуальное,Химки,317,Раз в год
Эко-лекция,Групповое,Зеленоград,216,Раз в месяц
Уход за парком,Индивидуальное,Подольск,406,Еженедельно
Уборка территории,Волонтерская деятельность,Мытищи,102,Раз в год
Уход за парком,Индивидуальное,Химки,452,Еженедельно
Уход за парком,Групповое,Воробьевы горы,391,Еженедельно
Эко-лекция,Групповое,Зеленоград,244,Еженедельно
Уборка территории,Волонтерская деятельность,Парк Горького,492,Раз в месяц
Уход за парком,Индивидуальное,Люблино,335,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,353,Раз в год
Насаждение деревьев,Групповое,Химки,312,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Подольск,239,Раз в месяц
Уход за парком,Индивидуальное,Измайловский парк,153,Еженедельно
Эко-лекция,Волонтерская деятельность,Воробьевы горы,273,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Подольск,293,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Зеленоград,259,Раз в месяц
Эко-лекция,Волонтерская деятельность,Зеленоград,266,Раз в месяц
Насаждение деревьев,Индивидуальное,Парк Горького,76,Раз в год
Уход за парком,Волонтерская деятельность,Люблино,212,Раз в месяц
Уборка территории,Групповое,Воробьевы горы,159,Раз в месяц
Субботник,Волонтерская деятельность,Мытищи,233,Еженедельно
Эко-лекция,Групповое,Лосиный Остров,226,Еженедельно
Эко-лекция,Групповое,Битцевский лес,40,Раз в год
Субботник,Групповое,Воробьевы горы,338,Раз в год
Уход за парком,Групповое,Битцевский лес,314,Еженедельно
Уборка территории,Волонтерская деятельность,Измайловский парк,299,Раз в год
Уборка территории,Групповое,Подольск,197,Раз в год
Эко-лекция,Индивидуальное,Сокольники,91,Еженедельно
Уборка территории,Индивидуальное,Парк Горького,451,Раз в месяц
Субботник,Волонтерская деятельность,Воробьевы горы,326,Раз в месяц
Уборка территории,Волонтерская деятельность,Парк Горького,369,Раз в месяц
Эко-лекция,Групповое,Битцевский лес,455,Еженедельно
Эко-лекция,Индивидуальное,Измайловский парк,191,Раз в месяц
Уборка территории,Групповое,Люблино,406,Раз в год
Насаждение деревьев,Волонтерская деятельность,Сокольники,412,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Химки,144,Раз в год
Субботник,Групповое,Зеленоград,111,Раз в месяц
Эко-лекция,Индивидуальное,Люблино,440,Раз в год
Насаждение деревьев,Индивидуальное,Подольск,355,Раз в год
Насаждение деревьев,Групповое,Измайловский парк,179,Еженедельно
Уход за парком,Волонтерская деятельность,Парк Горького,321,Еженедельно
Уход за парком,Групповое,Битцевский лес,184,Раз в месяц
Насаждение деревьев,Индивидуальное,Лосиный Остров,22,Раз в месяц
Насаждение деревьев,Индивидуальное,Лосиный Остров,118,Еженедельно
Субботник,Волонтерская деятельность,Люблино,458,Раз в месяц
Уход за парком,Групповое,Зеленоград,391,Еженедельно
Уборка территории,Индивидуальное,Химки,27,Раз в год
Уборка территории,Волонтерская деятельность,Воробьевы горы,433,Раз в год
Уборка территории,Индивидуальное,Парк Горького,491,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Мытищи,148,Еженедельно
Уборка территории,Индивидуальное,Крылатское,312,Раз в месяц
Насаждение деревьев,Индивидуальное,Подольск,440,Еженедельно
Насаждение деревьев,Групповое,Измайловский парк,168,Еженедельно
Уборка территории,Волонтерская деятельность,Битцевский лес,234,Раз в месяц
Уборка территории,Индивидуальное,Парк Горького,376,Еженедельно
Эко-лекция,Групповое,Зеленоград,38,Раз в месяц
Уход за парком,Волонтерская деятельность,Подольск,261,Раз в месяц
Уборка территории,Групповое,Измайловский парк,394,Раз в месяц
Субботник,Индивидуальное,Зеленоград,269,Раз в месяц
Эко-лекция,Волонтерская деятельность,Лосиный Остров,237,Еженедельно
Уход за парком,Групповое,Сокольники,91,Раз в год
Уборка территории,Групповое,Парк Горького,309,Раз в год
Уход за парком,Групповое,Люблино,447,Раз в месяц
Уход за парком,Групповое,Парк Горького,412,Раз в год
Субботник,Групповое,Воробьевы горы,498,Раз в год
Насаждение деревьев,Волонтерская деятельность,Крылатское,70,Раз в месяц
Субботник,Волонтерская деятельность,Воробьевы горы,213,Еженедельно
Уход за парком,Волонтерская деятельность,Лосиный Остров,191,Еженедельно
Эко-лекция,Индивидуальное,Мытищи,206,Еженедельно
Эко-лекция,Индивидуальное,Воробьевы горы,71,Раз в год
Уход за парком,Индивидуальное,Подольск,192,Раз в месяц
Насаждение деревьев,Групповое,Крылатское,20,Раз в год
Уборка территории,Индивидуальное,Измайловский парк,204,Еженедельно
Уход за парком,Групповое,Воробьевы горы,128,Раз в год
Насаждение деревьев,Групповое,Зеленоград,77,Еженедельно
Уборка территории,Волонтерская деятельность,Крылатское,395,Раз в месяц
Субботник,Групповое,Битцевский лес,51,Еженедельно
Уход за парком,Групповое,Крылатское,349,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,77,Еженедельно
Субботник,Индивидуальное,Лосиный Остров,421,Раз в год
Уборка территории,Групповое,Люблино,25,Раз в год
Уборка территории,Индивидуальное,Мытищи,473,Раз в месяц
Насаждение деревьев,Индивидуальное,Лосиный Остров,389,Раз в год
Эко-лекция,Индивидуальное,Парк Горького,209,Раз в год
Эко-лекция,Индивидуальное,Лосиный Остров,298,Раз в год
Насаждение деревьев,Групповое,Подольск,180,Еженедельно
Уход за парком,Групповое,Измайловский парк,294,Еженедельно
Эко-лекция,Групповое,Измайловский парк,411,Еженедельно
Уход за парком,Групповое,Парк Горького,344,Раз в год
Уход за парком,Групповое,Воробьевы горы,23,Раз в месяц
Насаждение деревьев,Индивидуальное,Воробьевы горы,393,Еженедельно
Эко-лекция,Волонтерская деятельность,Зеленоград,295,Еженедельно
Уход за парком,Волонтерская деятельность,Люблино,69,Раз в месяц
Субботник,Волонтерская деятельность,Химки,129,Еженедельно
Субботник,Волонтерская деятельность,Крылатское,469,Еженедельно
Уход за парком,Индивидуальное,Сокольники,114,Раз в год
Уход за парком,Индивидуальное,Парк Горького,352,Еженедельно
Насаждение деревьев,Групповое,Воробьевы горы,166,Раз в месяц
Уход за парком,Индивидуальное,Воробьевы горы,480,Раз в месяц
Субботник,Групповое,Мытищи,219,Еженедельно
Уборка территории,Групповое,Сокольники,232,Еженедельно
Эко-лекция,Индивидуальное,Сокольники,159,Раз в месяц
Субботник,Волонтерская деятельность,Крылатское,490,Раз в год
Уборка территории,Волонтерская деятельность,Воробьевы горы,92,Еженедельно
Эко-лекция,Индивидуальное,Сокольники,328,Раз в год
Уборка территории,Групповое,Подольск,150,Раз в год
Уборка территории,Групповое,Парк Горького,199,Раз в год
Эко-лекция,Индивидуальное,Воробьевы горы,128,Раз в год
Субботник,Волонтерская деятельность,Люблино,374,Раз в год
Уход за парком,Групповое,Зеленоград,433,Раз в год
Уход за парком,Волонтерская деятельность,Крылатское,353,Раз в месяц
Уборка территории,Групповое,Лосиный Остров,316,Раз в год
Субботник,Индивидуальное,Воробьевы горы,352,Еженедельно
Уход за парком,Групповое,Воробьевы горы,246,Еженедельно
Эко-лекция,Индивидуальное,Зеленоград,364,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Сокольники,150,Раз в год
Уборка территории,Индивидуальное,Парк Горького,457,Еженедельно
Субботник,Групповое,Мытищи,176,Еженедельно
Эко-лекция,Волонтерская деятельность,Измайловский парк,143,Еженедельно
Уборка территории,Групповое,Воробьевы горы,164,Раз в месяц
Уход за парком,Индивидуальное,Подольск,442,Еженедельно
Уход за парком,Групповое,Подольск,371,Раз в год
Уход за парком,Индивидуальное,Подольск,431,Раз в год
Эко-лекция,Групповое,Лосиный Остров,91,Раз в год
Уход за парком,Волонтерская деятельность,Крылатское,94,Раз в месяц
Эко-лекция,Волонтерская деятельность,Крылатское,398,Еженедельно
Уборка территории,Волонтерская деятельность,Крылатское,183,Раз в месяц
Эко-лекция,Групповое,Химки,204,Раз в месяц
Субботник,Индивидуальное,Химки,121,Еженедельно
Уход за парком,Волонтерская деятельность,Парк Горького,116,Раз в месяц
Субботник,Волонтерская деятельность,Лосиный Остров,43,Раз в год
Субботник,Групповое,Люблино,99,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,480,Раз в месяц
Насаждение деревьев,Индивидуальное,Воробьевы горы,175,Еженедельно
Уборка территории,Групповое,Мытищи,115,Раз в год
Уборка территории,Волонтерская деятельность,Парк Горького,441,Раз в год
Уборка территории,Групповое,Сокольники,277,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,482,Раз в год
Насаждение деревьев,Групповое,Воробьевы горы,421,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,203,Еженедельно
Субботник,Групповое,Химки,476,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,284,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Крылатское,162,Раз в месяц
Уход за парком,Групповое,Измайловский парк,446,Еженедельно
Уход за парком,Групповое,Крылатское,278,Еженедельно
Уборка территории,Волонтерская деятельность,Химки,323,Еженедельно
Эко-лекция,Индивидуальное,Люблино,288,Еженедельно
Насаждение деревьев,Индивидуальное,Измайловский парк,310,Раз в год
Субботник,Волонтерская деятельность,Воробьевы горы,485,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Подольск,208,Еженедельно
Насаждение деревьев,Групповое,Измайловский парк,469,Раз в год
Субботник,Групповое,Парк Горького,149,Раз в год
Эко-лекция,Групповое,Подольск,10,Раз в месяц
Уборка территории,Волонтерская деятельность,Сокольники,449,Еженедельно
Насаждение деревьев,Индивидуальное,Подольск,130,Раз в месяц
Уход за парком,Волонтерская деятельность,Химки,405,Еженедельно
Эко-лекция,Групповое,Химки,445,Еженедельно
Эко-лекция,Индивидуальное,Измайловский парк,201,Раз в год
Уборка территории,Групповое,Сокольники,284,Раз в месяц
Насаждение деревьев,Групповое,Подольск,368,Раз в год
Эко-лекция,Групповое,Люблино,322,Еженедельно
Уход за парком,Волонтерская деятельность,Подольск,29,Еженедельно
Уход за парком,Волонтерская деятельность,Сокольники,140,Раз в год
Эко-лекция,Волонтерская деятельность,Измайловский парк,86,Раз в год
Субботник,Групповое,Крылатское,129,Раз в год
Уход за парком,Индивидуальное,Лосиный Остров,311,Раз в год
Субботник,Индивидуальное,Сокольники,493,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Измайловский парк,175,Раз в год
Насаждение деревьев,Групповое,Крылатское,290,Раз в год
Эко-лекция,Волонтерская деятельность,Измайловский парк,465,Еженедельно
Эко-лекция,Групповое,Крылатское,294,Раз в год
Субботник,Индивидуальное,Зеленоград,49,Раз в месяц
Уход за парком,Волонтерская деятельность,Крылатское,436,Еженедельно
Субботник,Индивидуальное,Парк Горького,421,Раз в год
Эко-лекция,Индивидуальное,Люблино,298,Еженедельно
Уход за парком,Групповое,Сокольники,355,Еженедельно
Насаждение деревьев,Групповое,Подольск,299,Еженедельно
Насаждение деревьев,Групповое,Битцевский лес,348,Раз в год
Уборка территории,Индивидуальное,Зеленоград,324,Еженедельно
Уход за парком,Волонтерская деятельность,Парк Горького,315,Еженедельно
Уборка территории,Волонтерская деятельность,Мытищи,380,Раз в год
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,433,Раз в месяц
Уборка территории,Групповое,Химки,51,Раз в год
Уход за парком,Индивидуальное,Подольск,325,Раз в год
Уборка территории,Индивидуальное,Измайловский парк,124,Раз в месяц
Субботник,Волонтерская деятельность,Лосиный Остров,101,Раз в месяц
Субботник,Волонтерская деятельность,Подольск,26,Раз в год
Насаждение деревьев,Индивидуальное,Лосиный Остров,76,Еженедельно
Уход за парком,Групповое,Химки,43,Раз в месяц
Эко-лекция,Волонтерская деятельность,Зеленоград,388,Еженедельно
Уборка территории,Индивидуальное,Химки,222,Еженедельно
Субботник,Групповое,Измайловский парк,118,Еженедельно
Уход за парком,Индивидуальное,Измайловский парк,146,Еженедельно
Уход за парком,Индивидуальное,Парк Горького,275,Еженедельно
Эко-лекция,Индивидуальное,Воробьевы горы,167,Раз в год
Субботник,Групповое,Парк Горького,338,Еженедельно
Уход за парком,Индивидуальное,Зеленоград,289,Раз в месяц
Уход за парком,Индивидуальное,Зеленоград,294,Еженедельно
Субботник,Индивидуальное,Крылатское,186,Еженедельно
Эко-лекция,Групповое,Лосиный Остров,455,Еженедельно
Уход за парком,Индивидуальное,Зеленоград,20,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Зеленоград,45,Раз в год
Уход за парком,Групповое,Химки,20,Раз в год
Насаждение деревьев,Групповое,Парк Горького,87,Еженедельно
Уборка территории,Групповое,Зеленоград,93,Раз в год
Эко-лекция,Волонтерская деятельность,Сокольники,402,Раз в год
Эко-лекция,Индивидуальное,Мытищи,419,Раз в год
Уход за парком,Волонтерская деятельность,Воробьевы горы,51,Еженедельно
Субботник,Групповое,Мытищи,236,Раз в месяц
Уборка территории,Волонтерская деятельность,Зеленоград,127,Раз в месяц
Насаждение деревьев,Групповое,Битцевский лес,354,Еженедельно
Уход за парком,Индивидуальное,Парк Горького,326,Раз в месяц
Эко-лекция,Групповое,Битцевский лес,393,Раз в месяц
Уход за парком,Индивидуальное,Люблино,261,Еженедельно
Уход за парком,Волонтерская деятельность,Сокольники,179,Еженедельно
Эко-лекция,Индивидуальное,Битцевский лес,424,Еженедельно
Уборка территории,Волонтерская деятельность,Воробьевы горы,37,Раз в месяц
Субботник,Индивидуальное,Химки,255,Раз в год
Эко-лекция,Индивидуальное,Лосиный Остров,283,Еженедельно
Уборка территории,Волонтерская деятельность,Парк Горького,462,Еженедельно
Эко-лекция,Индивидуальное,Люблино,449,Раз в месяц
Насаждение деревьев,Индивидуальное,Битцевский лес,389,Еженедельно
Уборка территории,Индивидуальное,Крылатское,341,Раз в месяц
Насаждение деревьев,Групповое,Воробьевы горы,50,Еженедельно
Субботник,Групповое,Мытищи,245,Еженедельно
Уход за парком,Волонтерская деятельность,Лосиный Остров,87,Еженедельно
Уход за парком,Индивидуальное,Химки,323,Еженедельно
Уход за парком,Индивидуальное,Крылатское,268,Раз в год
Эко-лекция,Волонтерская деятельность,Сокольники,167,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,193,Еженедельно
Уход за парком,Групповое,Сокольники,484,Раз в месяц
Субботник,Индивидуальное,Воробьевы горы,423,Раз в год
Субботник,Индивидуальное,Парк Горького,488,Еженедельно
Эко-лекция,Волонтерская деятельность,Химки,481,Раз в год
Эко-лекция,Индивидуальное,Сокольники,255,Раз в год
Насаждение деревьев,Индивидуальное,Зеленоград,477,Раз в месяц
Уход за парком,Волонтерская деятельность,Мытищи,348,Еженедельно
Эко-лекция,Волонтерская деятельность,Парк Горького,271,Еженедельно
Насаждение деревьев,Групповое,Химки,147,Раз в год
Насаждение деревьев,Групповое,Воробьевы горы,353,Еженедельно
Эко-лекция,Индивидуальное,Подольск,246,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Сокольники,151,Еженедельно
Эко-лекция,Групповое,Крылатское,91,Еженедельно
Уход за парком,Групповое,Подольск,310,Еженедельно
Насаждение деревьев,Индивидуальное,Химки,227,Еженедельно
Уборка территории,Индивидуальное,Зеленоград,51,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,167,Еженедельно
Субботник,Групповое,Битцевский лес,194,Раз в год
Субботник,Индивидуальное,Зеленоград,70,Раз в год
Субботник,Индивидуальное,Подольск,73,Раз в год
Насаждение деревьев,Волонтерская деятельность,Лосиный Остров,451,Еженедельно
Эко-лекция,Индивидуальное,Парк Горького,201,Раз в год
Уборка территории,Волонтерская деятельность,Парк Горького,228,Раз в год
Эко-лекция,Индивидуальное,Сокольники,298,Еженедельно
Уход за парком,Волонтерская деятельность,Парк Горького,277,Еженедельно
Субботник,Волонтерская деятельность,Мытищи,488,Еженедельно
Субботник,Групповое,Подольск,124,Раз в месяц
Субботник,Индивидуальное,Битцевский лес,363,Раз в год
Субботник,Индивидуальное,Люблино,442,Раз в месяц
Субботник,Волонтерская деятельность,Люблино,379,Еженедельно
Эко-лекция,Волонтерская деятельность,Люблино,376,Еженедельно
Уход за парком,Волонтерская деятельность,Парк Горького,120,Раз в месяц
Уборка территории,Групповое,Крылатское,306,Еженедельно
Уборка территории,Групповое,Битцевский лес,380,Еженедельно
Насаждение деревьев,Индивидуальное,Воробьевы горы,325,Раз в месяц
Уход за парком,Индивидуальное,Зеленоград,143,Раз в год
Уборка территории,Групповое,Сокольники,353,Раз в год
Уборка территории,Индивидуальное,Химки,40,Еженедельно
Субботник,Групповое,Лосиный Остров,102,Раз в год
Субботник,Волонтерская деятельность,Воробьевы горы,387,Раз в месяц
Уборка территории,Групповое,Парк Горького,499,Раз в год
Субботник,Групповое,Люблино,40,Еженедельно
Субботник,Индивидуальное,Люблино,368,Раз в месяц
Уборка территории,Индивидуальное,Сокольники,473,Раз в год
Эко-лекция,Волонтерская деятельность,Мытищи,30,Раз в месяц
Насаждение деревьев,Индивидуальное,Парк Горького,14,Раз в месяц
Эко-лекция,Индивидуальное,Воробьевы горы,343,Еженедельно
Уход за парком,Групповое,Измайловский парк,126,Еженедельно
Уход за парком,Индивидуальное,Битцевский лес,444,Раз в месяц
Уборка территории,Групповое,Измайловский парк,344,Еженедельно
Эко-лекция,Групповое,Сокольники,174,Раз в месяц
Эко-лекция,Индивидуальное,Парк Горького,369,Еженедельно
Эко-лекция,Индивидуальное,Мытищи,336,Еженедельно
Уборка территории,Индивидуальное,Люблино,21,Раз в месяц
Уборка территории,Волонтерская деятельность,Воробьевы горы,188,Еженедельно
Уход за парком,Групповое,Подольск,268,Еженедельно
Уход за парком,Волонтерская деятельность,Сокольники,438,Раз в год
Уход за парком,Групповое,Парк Горького,20,Раз в месяц
Уборка территории,Волонтерская деятельность,Воробьевы горы,331,Раз в месяц
Субботник,Индивидуальное,Химки,287,Раз в месяц
Субботник,Волонтерская деятельность,Измайловский парк,35,Раз в год
Уход за парком,Волонтерская деятельность,Парк Горького,83,Раз в год
Уборка территории,Индивидуальное,Парк Горького,410,Раз в год
Насаждение деревьев,Волонтерская деятельность,Люблино,391,Раз в год
Уход за парком,Волонтерская деятельность,Лосиный Остров,488,Раз в месяц
Эко-лекция,Волонтерская деятельность,Подольск,215,Раз в месяц
Уборка территории,Групповое,Измайловский парк,442,Раз в год
Эко-лекция,Индивидуальное,Крылатское,214,Раз в месяц
Уход за парком,Индивидуальное,Воробьевы горы,495,Раз в месяц
Субботник,Групповое,Химки,229,Раз в месяц
Эко-лекция,Волонтерская деятельность,Сокольники,440,Еженедельно
Насаждение деревьев,Индивидуальное,Зеленоград,21,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Сокольники,88,Раз в месяц
Насаждение деревьев,Индивидуальное,Лосиный Остров,321,Раз в год
Уборка территории,Групповое,Лосиный Остров,189,Еженедельно
Уход за парком,Волонтерская деятельность,Сокольники,53,Еженедельно
Субботник,Волонтерская деятельность,Люблино,476,Раз в год
Субботник,Индивидуальное,Зеленоград,209,Раз в месяц
Субботник,Индивидуальное,Битцевский лес,152,Раз в месяц
Субботник,Групповое,Парк Горького,55,Раз в месяц
Уход за парком,Волонтерская деятельность,Зеленоград,173,Раз в месяц
Насаждение деревьев,Индивидуальное,Подольск,75,Раз в год
Субботник,Групповое,Подольск,493,Раз в год
Субботник,Волонтерская деятельность,Крылатское,65,Раз в месяц
Уборка территории,Групповое,Лосиный Остров,202,Еженедельно
Уборка территории,Индивидуальное,Зеленоград,445,Раз в год
Уборка территории,Групповое,Воробьевы горы,181,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,146,Раз в год
Уход за парком,Индивидуальное,Мытищи,238,Еженедельно
Эко-лекция,Волонтерская деятельность,Химки,306,Раз в год
Уборка территории,Индивидуальное,Парк Горького,138,Раз в год
Насаждение деревьев,Групповое,Лосиный Остров,98,Раз в год
Уход за парком,Индивидуальное,Лосиный Остров,457,Раз в месяц
Эко-лекция,Индивидуальное,Воробьевы горы,84,Раз в месяц
Уход за парком,Групповое,Подольск,404,Раз в месяц
Эко-лекция,Волонтерская деятельность,Зеленоград,208,Раз в год
Эко-лекция,Групповое,Парк Горького,105,Раз в год
Уход за парком,Волонтерская деятельность,Химки,495,Раз в год
Насаждение деревьев,Индивидуальное,Сокольники,27,Раз в год
Эко-лекция,Волонтерская деятельность,Парк Горького,391,Раз в год
Уход за парком,Индивидуальное,Зеленоград,475,Раз в год
Субботник,Волонтерская деятельность,Химки,299,Раз в год
Субботник,Волонтерская деятельность,Битцевский лес,273,Раз в год
Уборка территории,Индивидуальное,Парк Горького,241,Еженедельно
Субботник,Групповое,Лосиный Остров,232,Еженедельно
Насаждение деревьев,Индивидуальное,Подольск,54,Раз в месяц
Субботник,Групповое,Лосиный Остров,205,Раз в месяц
Эко-лекция,Волонтерская деятельность,Подольск,403,Раз в месяц
Уход за парком,Групповое,Сокольники,349,Раз в год
Субботник,Индивидуальное,Воробьевы горы,445,Раз в год
